station_id,D_i,Event_Count,D_norm,A_i,CACL,Quad,Color
11479,20056.27,21,0.2741073282062315,0.10534984125178724,0.16993282058648362,Q3,#7f7f7f
11480,20704.69,23,0.2829706342481176,0.04039243467800451,0.10691058347825343,Q3,#7f7f7f
11482,1654.98,10,0.022578589371067163,0.10936798118659488,0.04969280367975553,Q3,#7f7f7f
11495,856.83,5,0.011668611706387872,0.2879406590387193,0.05796436616408601,Q3,#7f7f7f
11498,42.85,1,0.0005422524762987253,0.061082182997759006,0.00575516854560027,Q3,#7f7f7f
11499,73.38,2,0.0009595695446476054,0.1629460585625172,0.012504322261400523,Q3,#7f7f7f
11500,23540.100000000002,269,0.321728085567053,0.14483837440701902,0.21586702600122668,Q4,#d62728
11503,71.64,2,0.0009357853422589042,0.16059275872027096,0.012258888599026846,Q3,#7f7f7f
11505,371.13,4,0.005029538660300377,0.0928306247477507,0.021607758237000178,Q3,#7f7f7f
11506,31794.670000000002,84,0.4345604783898705,0.06267640891125989,0.16503542116841535,Q4,#d62728
11511,16817.52,14,0.22983658942094046,0.1252865546688892,0.16969217549845278,Q3,#7f7f7f
11518,86.27,1,0.0011357640094696515,0.10774029597816437,0.011061986735736348,Q3,#7f7f7f
11519,2848.8399999999997,17,0.03889755940771945,0.0058083836669036515,0.015031032856933422,Q3,#7f7f7f
11520,22.22,1,0.00026025931809245596,0.12032259674128805,0.005595987578524562,Q3,#7f7f7f
11523,2580.9,52,0.0352350656214961,0.056238245109639956,0.04451469708844424,Q3,#7f7f7f
11528,6897.25,144,0.09423560698958287,0.03500936350364292,0.05743804157598638,Q3,#7f7f7f
11530,15997.63,31,0.21862944591722072,0.039917097498812705,0.09341869678382962,Q3,#7f7f7f
11531,220.97000000000003,4,0.0029769893323191173,0.09529704021514251,0.016843345039571717,Q3,#7f7f7f
11534,1746.78,8,0.023833411083298648,0.10323304684011717,0.04960237537378565,Q3,#7f7f7f
11535,382.98,2,0.005191517280016533,0.10688638399153173,0.023556368767076973,Q3,#7f7f7f
11537,70.86,1,0.0009251234584294863,0.03173798461519066,0.005418630278104145,Q3,#7f7f7f
11538,18470.66,21,0.2524334953616633,0.04402330983728336,0.10541801544145543,Q3,#7f7f7f
11541,23689.88,248,0.3237754406439379,0.12481133449797997,0.20102448812132662,Q4,#d62728
11542,4124.28,10,0.05633165314027417,0.12139298955137019,0.08269381948530805,Q3,#7f7f7f
11546,26545.92,52,0.36281488512107957,0.006080319591581043,0.04696839846235898,Q4,#d62728
11553,2423.12,11,0.033078357889950526,0.12336556562901148,0.06388059432388385,Q3,#7f7f7f
11556,2243.16,56,0.03061846992335817,0.1269925683958139,0.062356380073872425,Q3,#7f7f7f
11557,30919.77,24,0.4226013986945401,0.2464698046063515,0.3227359356542344,Q4,#d62728
11559,3030.45,17,0.04138000135933557,0.016390203481480552,0.026042784842321528,Q3,#7f7f7f
11570,17219.93,15,0.23533716464119178,0.07921462590836358,0.13653624229261246,Q3,#7f7f7f
11572,18573.36,12,0.25383731006586996,0.0771975397515117,0.13998434138940968,Q3,#7f7f7f
11573,82.33,1,0.001081907827049259,0.17763733633809406,0.013863160698786035,Q3,#7f7f7f
11574,204.48,4,0.0027515861728997578,0.18473839407746181,0.022546033148810245,Q3,#7f7f7f
11580,37.33,1,0.00046679914458284515,0.11853465118690644,0.0074385397611005525,Q3,#7f7f7f
11581,6081.28,162,0.08308204628664688,0.09894753888743348,0.09066842893640288,Q3,#7f7f7f
11583,1852.21,10,0.02527454238090829,0.017263809845004845,0.020888630725433316,Q3,#7f7f7f
11584,189.13,3,0.0025417657667695477,0.012675738145481511,0.005676156911742294,Q3,#7f7f7f
11590,3777.69,7,0.05159408606791786,0.10702267061103295,0.07430839036558427,Q3,#7f7f7f
11591,5977.35,139,0.08166141861178612,0.14705911351836437,0.109585837724139,Q3,#7f7f7f
11592,16333.830000000002,12,0.2232249912293365,0.1349829353041532,0.17358445941206746,Q3,#7f7f7f
11593,33.42,2,0.0004133530346174301,0.13605672367647415,0.007499297274530177,Q3,#7f7f7f
11594,451.14,8,0.006123201897725661,0.15233090463188703,0.03054100332870938,Q3,#7f7f7f
11604,79.0,1,0.0010363897845467444,0.2505153847629512,0.016113087402484967,Q3,#7f7f7f
11607,20850.18,583,0.28495934896394065,0.18734623322551114,0.23105423746555317,Q3,#7f7f7f
11617,3219.7,82,0.04396687509615266,0.08697315266022164,0.06183799592265731,Q3,#7f7f7f
11619,24061.23,190,0.328851454182469,0.22723131630577761,0.2733593766508688,Q4,#d62728
11621,2353.68,9,0.03212917684749568,0.29213392597096094,0.09688148724433485,Q3,#7f7f7f
11623,15841.13,12,0.21649023461042086,0.01869239641660269,0.06361384507842067,Q3,#7f7f7f
11632,1735.53,7,0.023679633912682043,0.16256198896766014,0.062043600692349,Q3,#7f7f7f
11635,294.17,1,0.003977566122464484,0.01169862937287744,0.0068214420669551416,Q3,#7f7f7f
11637,24098.43,38,0.3293599440266413,0.014800953613446544,0.06982006340347785,Q4,#d62728
11648,51599.66,47,0.7052765073934372,0.03698920671250737,0.1615166199542669,Q4,#d62728
11649,1761.58,12,0.024035713494420935,0.0672767421895227,0.04021249184153339,Q3,#7f7f7f
11650,170.48,1,0.0022868373905918006,0.07704790115666471,0.013273884933646295,Q3,#7f7f7f
11651,1609.75,4,0.021960336799779254,0.0169877600920997,0.019314681801581884,Q3,#7f7f7f
11654,413.37,2,0.005606920676908851,0.12908704345713026,0.026903174776981526,Q3,#7f7f7f
11663,83.34,2,0.0010957135997001718,0.08321887901981169,0.00954903437494132,Q3,#7f7f7f
11664,16286.439999999999,14,0.22257721344129017,0.14630710587551005,0.18045672038588875,Q3,#7f7f7f
11667,2365.98,12,0.0322973065540365,0.043586023267742684,0.037519477007944196,Q3,#7f7f7f
11671,10.74,1,0.00010333825865435753,0.04445987574648868,0.002143456586831477,Q3,#7f7f7f
11674,2398.84,12,0.03274647258305532,0.01925271724925326,0.025108934217763765,Q3,#7f7f7f
11682,9546.59,30,0.13044965225192887,0.09012618765028756,0.10842937718981926,Q3,#7f7f7f
11690,12125.31,351,0.16569838695525752,0.05665808597115884,0.09689248398814701,Q3,#7f7f7f
11692,119.94,7,0.001596001994772855,0.04741384843257832,0.008698999751595169,Q3,#7f7f7f
11693,389.09000000000003,12,0.0052750353700136395,0.0526653163823962,0.016667675503503742,Q3,#7f7f7f
11696,60.9,1,0.0007889794033769202,0.06543619009932196,0.007185249210975342,Q3,#7f7f7f
11699,85.02,1,0.0011186776571789178,0.0984238681348789,0.010493073058718931,Q3,#7f7f7f
11704,276.28000000000003,1,0.003733026248479503,0.18042409299885506,0.02595241559128616,Q3,#7f7f7f
11706,1247.58,8,0.01700980543247123,0.06393724981399211,0.0329781773180889,Q3,#7f7f7f
11707,16231.92,12,0.22183197509977753,0.09105015012327047,0.14211908610378954,Q3,#7f7f7f
11712,3694.86,10,0.05046187601972468,0.09863802291608681,0.07055111397577174,Q3,#7f7f7f
11721,1327.58,4,0.018103331979078187,0.08824664768131601,0.039969467835031455,Q3,#7f7f7f
11729,9110.79,234,0.12449266638928747,0.1975963412119842,0.15684162517089448,Q3,#7f7f7f
11732,656.87,17,0.00893534210314378,0.035633937233883896,0.017843806198978556,Q3,#7f7f7f
11734,668.58,21,0.009095407051403374,0.06537995314109615,0.024385595888145695,Q3,#7f7f7f
11735,4088.33,110,0.05584024964839268,0.07361447362495065,0.06411435552941527,Q3,#7f7f7f
11737,32.77,1,0.00040446813142624863,0.2779700600398629,0.010603302823967894,Q3,#7f7f7f
11741,3054.0,86,0.041701908236492995,0.1987546350769478,0.0910409114275364,Q3,#7f7f7f
11743,172.81,6,0.0023186863512617284,0.10480881318198296,0.015589059131872078,Q3,#7f7f7f
11744,249.48,9,0.0033666948553661715,0.19812937437266315,0.025827139706079787,Q3,#7f7f7f
11747,3089.94,76,0.04219317503755617,0.1892589776045224,0.08936127332069825,Q3,#7f7f7f
11749,746.9399999999999,20,0.010166516303804888,0.18711985187640948,0.043616017984991165,Q3,#7f7f7f
11752,13758.12,3,0.18801740046232387,0.11169142284954713,0.14491352931355325,Q3,#7f7f7f
11753,18100.980000000003,18,0.2473803091897926,0.061298805221900336,0.12314267086903133,Q3,#7f7f7f
11757,512.88,15,0.00696713101006958,0.11196269187414244,0.027929531727674976,Q3,#7f7f7f
11760,6271.5,160,0.08568217903284157,0.0972876590936747,0.09130070440117258,Q3,#7f7f7f
11762,13188.58,348,0.1802323115953923,0.21877226334926722,0.19856946073451062,Q3,#7f7f7f
