station_id,delta_s,Delta_s,sigma_s,Sigma_s,ratio_demand,ratio_supply,W_FPG
10554,42.0,44,0.0,30.0,0.9545454545454546,0.0,0.00020725388601036272
10555,37.0,43,2.0,2.0,0.8604651162790697,1.0,-2.9607698001480392e-05
10556,0.0,6,0.0,3.0,0.0,0.0,0.0
10560,0.0,2,0.0,5.0,0.0,0.0,0.0
10562,2.0,4,4.0,4.0,0.5,1.0,-9.869232667160129e-06
10565,1.0,8,0.0,4.0,0.125,0.0,4.934616333580064e-06
10567,0.0,9,0.0,3.0,0.0,0.0,0.0
10568,95.0,102,6.0,60.0,0.9313725490196079,0.1,0.0004184554650875895
10570,2.0,2,0.0,5.0,1.0,0.0,9.869232667160129e-06
10571,42.0,48,8.0,8.0,0.875,1.0,-2.9607698001480386e-05
10573,79.0,93,0.0,1.0,0.8494623655913979,0.0,0.00038983469035282507
10574,0.0,9,0.0,1.0,0.0,0.0,0.0
10575,109.0,138,0.0,10.0,0.7898550724637681,0.0,0.000537873180360227
10581,69.0,73,0.0,35.0,0.9452054794520548,0.0,0.00034048852701702443
10583,126.0,135,0.0,10.0,0.9333333333333333,0.0,0.000621761658031088
10584,0.0,10,8.0,8.0,0.0,1.0,-4.934616333580064e-05
10586,51.0,55,0.0,28.0,0.9272727272727272,0.0,0.00025166543301258324
10587,0.0,1,0.0,2.0,0.0,0.0,0.0
10589,5.0,6,8.0,8.0,0.8333333333333334,1.0,-4.934616333580063e-06
10590,27.0,27,2.0,8.0,1.0,0.25,9.99259807549963e-05
10591,6.0,6,2.0,8.0,1.0,0.25,2.220577350111029e-05
10593,0.0,4,0.0,5.0,0.0,0.0,0.0
10596,0.0,2,6.0,60.0,0.0,0.1,-9.86923266716013e-07
10597,113.0,134,8.0,8.0,0.8432835820895522,1.0,-0.00010362694300518135
10598,29.0,31,8.0,8.0,0.9354838709677419,1.0,-9.869232667160137e-06
10611,0.0,1,0.0,6.0,0.0,0.0,0.0
10614,1.0,1,8.0,8.0,1.0,1.0,0.0
10615,132.0,150,8.0,8.0,0.88,1.0,-8.882309400444115e-05
10617,5.0,8,8.0,8.0,0.625,1.0,-1.4803849000740193e-05
10619,1.0,1,3.0,6.0,1.0,0.5,2.467308166790032e-06
10627,1.0,1,8.0,8.0,1.0,1.0,0.0
10636,0.0,2,8.0,8.0,0.0,1.0,-9.869232667160129e-06
10637,229.0,248,8.0,8.0,0.9233870967741935,1.0,-9.375771033802128e-05
10638,28.0,33,0.0,24.0,0.8484848484848485,0.0,0.0001381692573402418
10639,0.0,2,0.0,1.0,0.0,0.0,0.0
10640,14.0,23,8.0,16.0,0.6086956521739131,0.5,1.2336540833950165e-05
10641,19.0,34,8.0,16.0,0.5588235294117647,0.5,9.86923266716013e-06
10645,3.0,3,1.0,1.0,1.0,1.0,0.0
